team_a_name,team_b_name,team_a_wins,team_a_losses,team_b_wins,team_b_losses
manaphy,team_8,2,1,1,2
manaphy,team_9,2,1,1,2
manaphy,trick_room,2,1,1,2
manaphy,zzzzzzzzzu,3,0,0,3
mexican_webs,team_4,0,3,3,0
mexican_webs,team_5,1,2,2,1
mexican_webs,team_6,3,0,0,3
mexican_webs,team_7,0,3,3,0
mexican_webs,team_8,2,1,1,2
mexican_webs,team_9,2,1,1,2
mexican_webs,trick_room,3,0,0,3
mexican_webs,zzzzzzzzzu,2,1,1,2
mu_fish,team_4,2,1,1,2
mu_fish,team_5,1,2,2,1
mu_fish,team_6,2,1,1,2
mu_fish,team_7,2,1,1,2
mu_fish,team_8,0,3,3,0
mu_fish,team_9,0,3,3,0
mu_fish,trick_room,1,2,2,1
mu_fish,zzzzzzzzzu,3,0,0,3
nu_balance,team_4,0,3,3,0
nu_balance,team_5,1,2,2,1
nu_balance,team_6,1,2,2,1
nu_balance,team_7,1,2,2,1
nu_balance,team_8,3,0,0,3
nu_balance,team_9,1,2,2,1
nu_balance,trick_room,1,2,2,1
nu_balance,zzzzzzzzzu,3,0,0,3
nu_ho,team_4,0,3,3,0
nu_ho,team_5,0,3,3,0
nu_ho,team_6,0,3,3,0
nu_ho,team_7,0,3,3,0
nu_ho,team_8,3,0,0,3
nu_ho,team_9,0,3,3,0
nu_ho,trick_room,3,0,0,3
nu_ho,zzzzzzzzzu,3,0,0,3
nu_offense,team_4,0,3,3,0
nu_offense,team_5,0,3,3,0
nu_offense,team_6,0,3,3,0
nu_offense,team_7,1,2,2,1
nu_offense,team_8,0,3,3,0
nu_offense,team_9,2,1,1,2
nu_offense,trick_room,2,1,1,2
nu_offense,zzzzzzzzzu,3,0,0,3
nu_stall,team_4,0,3,3,0
nu_stall,team_5,0,3,3,0
nu_stall,team_6,0,3,3,0
nu_stall,team_7,1,2,2,1
nu_stall,team_8,0,3,3,0
nu_stall,team_9,0,3,3,0
nu_stall,trick_room,2,1,1,2
nu_stall,zzzzzzzzzu,1,2,2,1
pu_team,team_4,0,3,3,0
pu_team,team_5,0,3,3,0
pu_team,team_6,2,1,1,2
pu_team,team_7,1,2,2,1
pu_team,team_8,3,0,0,3
pu_team,team_9,0,3,3,0
pu_team,trick_room,0,3,3,0
pu_team,zzzzzzzzzu,1,2,2,1
quagsire_stall,team_4,1,2,2,1
quagsire_stall,team_5,0,3,3,0
quagsire_stall,team_6,2,1,1,2
quagsire_stall,team_7,1,2,2,1
quagsire_stall,team_8,0,3,3,0
quagsire_stall,team_9,1,2,2,1
quagsire_stall,trick_room,1,2,2,1
quagsire_stall,zzzzzzzzzu,3,0,0,3
sand,team_4,2,1,1,2
sand,team_5,2,1,1,2
sand,team_6,2,1,1,2
sand,team_7,1,2,2,1
sand,team_8,2,1,1,2
sand,team_9,0,3,3,0
sand,trick_room,3,0,0,3
sand,zzzzzzzzzu,3,0,0,3
scarf_latios,team_4,1,2,2,1
scarf_latios,team_5,1,2,2,1
scarf_latios,team_6,0,3,3,0
scarf_latios,team_7,3,0,0,3
scarf_latios,team_8,1,2,2,1
scarf_latios,team_9,1,2,2,1
scarf_latios,trick_room,2,1,1,2
scarf_latios,zzzzzzzzzu,3,0,0,3
team_0,team_4,1,2,2,1
team_0,team_5,2,1,1,2
team_0,team_6,3,0,0,3
team_0,team_7,1,2,2,1
team_0,team_8,2,1,1,2
team_0,team_9,1,2,2,1
team_0,trick_room,2,1,1,2
team_0,zzzzzzzzzu,3,0,0,3
team_1,team_4,1,2,2,1
team_1,team_5,3,0,0,3
team_1,team_6,0,3,3,0
team_1,team_7,3,0,0,3
team_1,team_8,3,0,0,3
team_1,team_9,1,2,2,1
team_1,trick_room,2,1,1,2
team_1,zzzzzzzzzu,2,1,1,2
team_10,team_4,0,3,3,0
team_10,team_5,3,0,0,3
team_10,team_6,2,1,1,2
team_10,team_7,1,2,2,1
team_10,team_8,1,2,2,1
team_10,team_9,1,2,2,1
team_10,trick_room,3,0,0,3
team_10,zzzzzzzzzu,3,0,0,3
team_11,team_4,2,1,1,2
team_11,team_5,1,2,2,1
team_11,team_6,3,0,0,3
team_11,team_7,0,3,3,0
team_11,team_8,0,3,3,0
team_11,team_9,1,2,2,1
team_11,trick_room,2,1,1,2
team_11,zzzzzzzzzu,3,0,0,3
team_12,team_4,1,2,2,1
team_12,team_5,0,3,3,0
team_12,team_6,1,2,2,1
team_12,team_7,0,3,3,0
team_12,team_8,1,2,2,1
team_12,team_9,0,3,3,0
team_12,trick_room,1,2,2,1
